model,architecture,method,method_label,seed,parameter_count,input_if_threshold,hidden_if_threshold_mean,hidden_if_threshold_min,hidden_if_threshold_max,bn_gamma_abs_mean,bn_beta_abs_mean,folded_gain_geomean,folded_gain_product,checkpoint
cnn6_vgg,"Wide, staged pool",wd_weight_only,Weights only,40,33961,6.621037006378174,7.500129620234172,7.2470622062683105,7.6376824378967285,1.229947559003319,0.10935106636212108,0.19294446339975133,5.159337344399275e-05,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed40_ep30_L16_trainT0.pth
cnn6_vgg,"Wide, staged pool",wd_weight_only,Weights only,41,33961,6.565159797668457,7.506798982620239,7.279347896575928,7.6417927742004395,1.2253721659736974,0.1079840104627822,0.19811308417139542,6.0461505095250465e-05,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed41_ep30_L16_trainT0.pth
cnn6_vgg,"Wide, staged pool",wd_weight_only,Weights only,42,33961,6.585081577301025,7.504211187362671,7.312193870544434,7.650945663452148,1.2234852074512415,0.10647003277803638,0.1937239125116692,5.285662020248758e-05,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed42_ep30_L16_trainT0.pth
cnn6_vgg,"Wide, staged pool",wd_weight_only,Weights only,43,33961,6.558687686920166,7.520155429840088,7.324200630187988,7.6571149826049805,1.2210396932704108,0.10423092314002654,0.19343877961715353,5.2391551744831965e-05,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed43_ep30_L16_trainT0.pth
cnn6_vgg,"Wide, staged pool",wd_weight_only,Weights only,44,33961,6.592777729034424,7.504116217295329,7.352782726287842,7.650448322296143,1.2188521847128868,0.1106018282838964,0.19897628319064883,6.205944463401637e-05,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_wd_weight_only_rcnone_seed44_ep30_L16_trainT0.pth
cnn6_vgg,"Wide, staged pool",manual_l2_all,All parameters,40,33961,4.164169788360596,5.100420395533244,4.851907253265381,5.282782554626465,0.9444973351699966,0.07570780579668021,0.28180346343335116,0.0005008157268646961,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed40_ep30_L16_trainT0.pth
cnn6_vgg,"Wide, staged pool",manual_l2_all,All parameters,41,33961,4.225665092468262,5.10278860727946,4.869140625,5.28664493560791,0.9404499663838318,0.074795846618924,0.2874051245159284,0.0005635948873786364,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed41_ep30_L16_trainT0.pth
cnn6_vgg,"Wide, staged pool",manual_l2_all,All parameters,42,33961,4.2117533683776855,5.114724318186442,4.927663803100586,5.287293910980225,0.9384155582104411,0.07744210750856187,0.2808503453850872,0.0004907380962622626,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed42_ep30_L16_trainT0.pth
cnn6_vgg,"Wide, staged pool",manual_l2_all,All parameters,43,33961,4.175135135650635,5.119729677836101,4.911204814910889,5.278758525848389,0.9385171596493039,0.06778086444371313,0.2858744815330489,0.0005458236381055813,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed43_ep30_L16_trainT0.pth
cnn6_vgg,"Wide, staged pool",manual_l2_all,All parameters,44,33961,4.333119869232178,5.096196571985881,4.939297199249268,5.291306495666504,0.9424033840852124,0.07159501838863694,0.2931367316933671,0.0006344851302365557,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/QCFS_simulation/fashion_mnist-checkpoints/cnn6_vgg_L[16]_fashion_spectral_mne_cnn6_vgg_manual_l2_all_rc0p00025_seed44_ep30_L16_trainT0.pth
